canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:INDIAGLYCO:EQ,INDIAGLYCO,2025-08-12,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-26c7513c887ebe60,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:INDIAMART:EQ,INDIAMART,2023-06-21,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-b798d5f7cdd5d324,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:INDOTHAI:EQ,INDOTHAI,2025-07-18,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-03bafe9c59ae3dcf,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:INFOBEAN:EQ,INFOBEAN,2026-02-27,BONUS,0.25,0.25,4,VERIFIED_OFFICIAL,nse-ca-bc39e5704ffbf182,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:INOXWIND:EQ,INOXWIND,2024-05-24,BONUS,0.25,0.25,4,VERIFIED_OFFICIAL,nse-ca-0dc9a5057c0eee24,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:INSECTICID:EQ,INSECTICID,2022-09-30,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-72a1210bc974d3c3,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IOC:EQ,IOC,2022-06-30,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-3a549383c1b46c30,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IOLCP:EQ,IOLCP,2025-03-11,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-bc29acc57e696d1a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IONEXCHANG:EQ,IONEXCHANG,2023-06-12,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-6c811e4bcd22dca7,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IPCALAB:EQ,IPCALAB,2022-01-10,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-9b95a6fd133f8230,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IRB:EQ,IRB,2023-02-22,STOCK_SPLIT,0.1,0.05,10,VERIFIED_OFFICIAL,nse-ca-455c5dd4dfd7890c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:IRB:EQ,IRB,2026-03-30,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-e91844c981de95f0,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
